epoch,loss,acc,val_loss,val_acc
0,0.9297108248524044,0.9901494565217391,1.6379741430282593,0.265625
0,1.2992277138906976,0.6122622282608695,1.6069531440734863,0.296875
0,1.396552907815878,0.5123414855072463,1.6529902219772339,0.25
0,1.441274491665156,0.46628736413043476,1.651250958442688,0.25
0,1.4776244119457576,0.42459239130434784,1.6074973344802856,0.21875
0,1.4853674257579057,0.41366621376811596,1.5814930200576782,0.265625
0,1.4934174734983385,0.4080939440993789,1.6480975151062012,0.171875
0,1.495260558536519,0.40867017663043476,1.6019954681396484,0.265625
0,1.4683219025964322,0.4418780193236715,1.5286929607391357,0.375
0,1.4490713157083677,0.4639945652173913,1.6649867296218872,0.1875
0,1.4453447583913803,0.4684375,1.5592509508132935,0.34375
0,1.469418590068817,0.44925,1.6466186046600342,0.125
0,1.4389197256565094,0.482125,1.6404378414154053,0.21875
0,1.4134905967712403,0.5125625,1.6297149658203125,0.234375
0,1.3881374833583833,0.54246875,1.6044265031814575,0.203125
0,1.3621387693881988,0.57496875,1.5885777473449707,0.265625
0,1.3420842547416687,0.6000625,1.5989158153533936,0.265625
0,1.3164117345809936,0.62778125,1.609439730644226,0.28125
0,1.2991269433498382,0.646375,1.6355535984039307,0.203125
0,1.3032555620670319,0.6406875,1.5852038860321045,0.28125
0,1.3091017606258393,0.63509375,1.6216367483139038,0.21875
0,1.3037584147453307,0.6425625,1.5784977674484253,0.3125
0,1.308402067899704,0.6356875,1.5986056327819824,0.25
0,1.3084522938728333,0.63528125,1.5530208349227905,0.328125
0,1.310004098176956,0.63190625,1.6571425199508667,0.203125
0,1.3078642735481263,0.6334375,1.5757333040237427,0.28125
0,1.3086412281990052,0.63203125,1.569459319114685,0.3125
0,1.3175194284915923,0.62115625,1.504632592201233,0.359375
0,1.3220106744766236,0.61640625,1.5459424257278442,0.328125
0,1.3307440280914307,0.60625,1.4804528951644897,0.4375
0,1.3237762360572816,0.6146875,1.5970569849014282,0.25
0,1.3218070995807647,0.6163125,1.551086187362671,0.3125
0,1.3163814187049865,0.6201875,1.5512231588363647,0.296875
0,1.313752295732498,0.62353125,1.5806384086608887,0.296875
0,1.31330477309227,0.623625,1.5403043031692505,0.296875
0,1.3116691482067109,0.62521875,1.4801194667816162,0.375
0,1.3154285502433778,0.62034375,1.5608938932418823,0.3125
0,1.3161538372039794,0.61946875,1.5651525259017944,0.359375
